year,site,basin,upw,npgo,wind.sp,fw.dis,temp,geo.growth,pdo,chl,current
1922,Alden Bank,ssog,NA,NA,NA,-0.187778289,12.15498802,0.022140672,-0.18,1.772549262,1.023867804
1923,Alden Bank,ssog,NA,NA,NA,-0.093786483,10.41907111,0.13766518,0.49,1.817187953,2.230128176
1924,Alden Bank,ssog,NA,NA,NA,0.116933286,13.05105525,0.071491118,0.555,1.811117671,1.88335001
1925,Alden Bank,ssog,NA,NA,NA,0.094222387,12.66482895,0.190035043,0.1925,1.819650971,2.433210045
1926,Alden Bank,ssog,NA,NA,NA,-1.360596703,13.35653161,0.173377189,1.265,1.824779882,2.330130561
1927,Alden Bank,ssog,NA,NA,NA,-0.233696728,12.16485239,0.270145888,0.24,1.80978276,3.495209363
1928,Alden Bank,ssog,NA,NA,NA,0.112943305,10.35910565,0.141131863,0.535,1.901794459,2.241130205
1929,Alden Bank,ssog,NA,NA,NA,-1.940221262,14.68089214,0.071486628,0.655,1.7886936,1.720279875
1930,Alden Bank,ssog,NA,NA,NA,-0.956851135,10.16785992,0.234105361,-0.1225,1.831182512,2.550006824
1931,Alden Bank,ssog,NA,NA,NA,-0.882354672,9.003926747,0.054717915,1.115,1.863522001,1.599688303
1932,Alden Bank,ssog,NA,NA,NA,0.21361033,12.38709817,0.032237097,0.6,1.778697493,0.227029005
1933,Alden Bank,ssog,NA,NA,NA,1.301351262,12.90675496,0.150601009,-0.27,1.825248371,-0.419553885
1934,Alden Bank,ssog,NA,NA,NA,0.763958198,13.21687741,0.182138965,1.1775,1.776062915,-1.19511092
1935,Alden Bank,ssog,NA,NA,NA,-0.083929381,13.24541487,0.194144288,0.8425,1.709639176,-1.327766776
1936,Alden Bank,ssog,NA,NA,NA,-0.078845101,12.44197699,0.195378337,1.72,1.801800768,-1.37878147
1937,Alden Bank,ssog,NA,NA,NA,-0.778244814,11.77101251,0.151682002,0.715,1.704312498,-0.536129692
1938,Alden Bank,ssog,NA,NA,NA,-1.70783439,10.55923128,0.107309862,0.015,1.889900099,2.058485332
1939,Alden Bank,ssog,NA,NA,NA,0.036502357,10.55923128,0.087941683,0.52,1.662927102,-3.848056836
1942,Alden Bank,ssog,NA,NA,NA,-1.283002538,10.65717411,0.090715116,0.7775,1.823525865,-0.126356317
1943,Alden Bank,ssog,NA,NA,NA,-0.883423718,8.380475412,0.027889499,0.6125,1.763808485,0.284268807
1944,Alden Bank,ssog,NA,NA,NA,-1.425867388,14.57459881,0.277900339,-0.1325,1.855385672,3.773870665
1945,Alden Bank,ssog,NA,NA,NA,-1.474555245,12.82266866,0.174535254,-0.0825,1.784460637,2.35872269
1946,Alden Bank,ssog,1.25,NA,NA,-0.303285684,14.42239954,0.206389235,-0.3875,1.838653732,2.526456213
1947,Alden Bank,ssog,-5.875,NA,NA,0.064305951,8.89327823,0.032040837,0.9,1.883775701,1.384151996
1948,Alden Bank,ssog,2,NA,NA,1.690071273,6.252670528,0.001790453,-0.3775,1.788917811,0.568319008
1949,Alden Bank,ssog,0.875,NA,NA,-0.384524706,10.76428268,0.092617376,-0.825,1.842494939,1.941946543
1950,Alden Bank,ssog,-12.375,-0.601562414,NA,0.09119202,14.95380068,0.320461999,-1.5825,1.854255102,4.017063224
1951,Alden Bank,ssog,8.75,-1.050627318,NA,-0.769473596,16.18747667,0.401729978,-0.9,1.82095352,6.300387838
1952,Alden Bank,ssog,0.25,-0.72198812,NA,-0.174293167,15.11846487,0.388044055,-1.0275,1.889041025,1.976781648
1953,Alden Bank,ssog,-10.25,0.978359014,-0.521653013,-0.891563612,7.89047492,0.011470163,-0.0875,1.838634364,0.45495187
1954,Alden Bank,ssog,-7.625,-0.065568868,-0.480170986,0.700253204,13.53793432,0.271030332,-0.2175,1.864008556,-3.568210793
1955,Alden Bank,ssog,12.75,-0.047208183,0.473807562,0.419481511,10.98675122,0.096680145,-1.72,1.831027445,2.684408351
1956,Alden Bank,ssog,13.5,0.231322439,0.346685388,-0.156127814,15.25685572,0.254791741,-1.96,1.875247335,2.875314629
1957,Alden Bank,ssog,3.375,-1.051660423,-0.936950448,0.404910511,12.03896728,0.127153987,0.445,1.818450042,2.193130271
1958,Alden Bank,ssog,19.125,-0.707145945,-0.611319225,0.440887671,11.81337694,0.109579544,0.98,1.816053407,2.116430734
1959,Alden Bank,ssog,11.875,-0.293561446,-0.219664714,1.050967394,12.49260135,0.151879422,-0.075,1.877103322,2.28115226
1960,Alden Bank,ssog,-4.625,0.631053015,-0.771464075,0.867133693,8.016362894,0.014577593,0.3575,1.808764552,0.34717426
1961,Alden Bank,ssog,-0.875,1.070957389,-0.115810374,0.243939231,13.24541487,0.266414723,-0.06,1.815788023,3.267430064
1962,Alden Bank,ssog,5.625,-0.257102763,-0.794424173,0.55268287,15.04513833,0.347063677,-1.265,1.85592663,4.712239654
1963,Alden Bank,ssog,-3.75,-0.365744125,-0.574351142,0.170343456,15.25685572,0.398071445,-0.62,1.83460045,5.439299746
1964,Alden Bank,ssog,14.125,0.721114204,-0.275114403,2.124339345,15.01515284,0.343549363,-1.0325,1.897543547,4.408314021
1965,Alden Bank,ssog,19.75,-0.810976894,-1.560069949,0.261203889,14.57459881,0.220887117,-0.2,1.847747629,2.53134898
1966,Alden Bank,ssog,15,-1.069423678,-0.723863497,0.59123584,15.11846487,0.24589528,-0.4,1.906054811,2.86838062
1968,Alden Bank,ssog,3.25,-0.965134458,-0.038798307,1.352017271,13.21687741,0.260756894,-0.555,1.8423744,2.929011659
1969,Alden Bank,ssog,8.625,-0.305146571,0.011574927,-0.141792506,11.95313638,0.11296054,-0.0625,1.839448353,2.185101835
1970,Alden Bank,ssog,15.875,0.191403649,0.072630407,-1.520515774,8.414224203,0.029478843,0.3325,1.786200052,1.241348168
1971,Alden Bank,ssog,3.375,0.571415655,-0.250852871,0.397157825,7.981082665,0.013549441,-1.5925,1.858977522,0.445674111
1972,Alden Bank,ssog,7,-0.706780208,-0.144648902,2.181007165,14.42239954,0.276721291,-1.795,1.867258691,3.715119581
1973,Alden Bank,ssog,13.875,0.230560695,-0.365953292,-0.710869712,11.07757068,0.098821401,-0.73,1.839582624,1.958608056
1974,Alden Bank,ssog,9.375,0.064939938,-0.724086417,1.494915795,10.47613381,0.07395815,-0.5025,1.788494083,-0.098596098
1975,Alden Bank,ssog,12,0.700680414,0.101887452,-0.41602366,15.01515284,0.237156996,-0.9975,1.822966143,2.684408351
1976,Alden Bank,ssog,2.375,2.149127313,-0.438322213,2.755395922,10.65071703,0.088981378,-0.8,1.835912293,-0.108716496
1977,Alden Bank,ssog,11.875,1.179093204,0.556216087,-0.432109843,11.64239079,0.105527468,0.4375,1.869362796,1.966781648
1978,Alden Bank,ssog,10.375,0.621029318,0.416701011,-0.826158246,10.06212934,0.043893994,0.92,1.79691878,1.3990818
1979,Alden Bank,ssog,19.625,-0.883084826,0.06150838,-0.961842818,13.35653161,0.200526316,0.6125,1.862331358,2.516393228
1980,Alden Bank,ssog,19.75,-0.618361558,-0.459102971,-1.049496115,10.53120736,0.075906885,0.89,1.747853877,-0.102121764
1981,Alden Bank,ssog,10.5,-0.327171462,-0.349420761,-0.360307044,14.68089214,0.307959257,1.47,1.776863354,0.792376781
1982,Alden Bank,ssog,21.125,-0.758292811,-0.153703068,1.529192589,15.04513833,0.23722291,-0.34,1.863886338,2.845860365
1983,Alden Bank,ssog,8,-0.258322045,-0.784874609,-0.569402196,9.743522658,0.042597924,2.035,1.787280777,-0.058755193
1984,Alden Bank,ssog,8.375,0.768569298,0.022484074,0.074583938,13.53793432,0.204788659,1.1925,1.739227771,-1.416820802
1985,Alden Bank,ssog,22,-0.188933463,0.90569656,-0.283057998,10.32232086,0.05481116,0.235,1.880015335,1.607706611
1986,Alden Bank,ssog,14.375,-0.702369859,-1.269207673,-0.140950735,14.95380068,0.235238611,1.445,1.73771315,-1.694546021
1987,Alden Bank,ssog,16.5,0.310262519,-0.230085194,-0.948753329,7.435933532,0.009618906,1.71,1.861821807,0.517144964
